ausjff orders 2 dsnfnsdgn to fnfnfnNNN
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: Merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: Pearl
ID: merch-1, Quantity: 1, Address: PEralrl
ID: merch -1, Quantity: 1, Address: Peral
ID: , Quantity: , Address: 
ID: merch-1, Quantity: 2, Address: 43, Jalan selayang, Taman selayang
ID: merch-1, Quantity: 1, Address: 1
ID: merch-1, Quantity: 2, Address: 2
ID: merch-1, Quantity: 2, Address: 2
ID: merch-1, Quantity: 2, Address: Kuala Lumpur
ID: merch-2, Quantity: 2, Address: Kuala Lumpur
ID: merch-3, Quantity: 3, Address: Kuala Lumpur
ID: Merch-1, Quantity: 3, Address: kl
ID: MMKK, Quantity: 3, Address: ftgj
